,chr_nr,start,stop
1,chr1,28715,29829
2,chr1,135104,135582
3,chr1,327770,328248
4,chr1,437131,438183
5,chr1,449253,450563
6,chr1,533199,534133
7,chr1,544718,546668
8,chr1,713964,714566
9,chr1,762396,763464
10,chr1,788843,789230
11,chr1,801955,802357
12,chr1,805178,805647
13,chr1,839674,840638
14,chr1,844279,845902
15,chr1,854745,854992
16,chr1,858950,861651
17,chr1,869312,871891
18,chr1,875710,878382
19,chr1,886336,886621
20,chr1,894293,902673
21,chr1,906276,906557
22,chr1,912849,913172
23,chr1,919706,919946
24,chr1,933367,937429
25,chr1,948650,948913
26,chr1,949309,949870
27,chr1,954748,956362
28,chr1,963775,964526
29,chr1,967946,970257
30,chr1,975476,980324
31,chr1,981048,981419
32,chr1,982132,982530
33,chr1,983154,983631
34,chr1,984186,984448
35,chr1,990254,990713
36,chr1,994416,995322
37,chr1,999658,999930
38,chr1,1002643,1005337
39,chr1,1011489,1013421
40,chr1,1016843,1017458
41,chr1,1018079,1018409
42,chr1,1019798,1020045
43,chr1,1023123,1023366
44,chr1,1024055,1024633
45,chr1,1026357,1026644
46,chr1,1027489,1027749
47,chr1,1046024,1046359
48,chr1,1050495,1050849
49,chr1,1051158,1052464
50,chr1,1072349,1072866
51,chr1,1093191,1093495
52,chr1,1098023,1100603
53,chr1,1109294,1110164
54,chr1,1115554,1116025
55,chr1,1132807,1133237
56,chr1,1136340,1137175
57,chr1,1141650,1142169
58,chr1,1145548,1145897
59,chr1,1146688,1146933
60,chr1,1149035,1149543
61,chr1,1152502,1153153
62,chr1,1153764,1154438
63,chr1,1159148,1159547
64,chr1,1161939,1162300
65,chr1,1163482,1163914
66,chr1,1166981,1169004
67,chr1,1173895,1174282
68,chr1,1177865,1178226
69,chr1,1181736,1182489
70,chr1,1189376,1190264
71,chr1,1190502,1190818
72,chr1,1203146,1203616
73,chr1,1208495,1209961
74,chr1,1228760,1230182
75,chr1,1242380,1245204
76,chr1,1247898,1248512
77,chr1,1254302,1254567
78,chr1,1259623,1260654
79,chr1,1262645,1263439
80,chr1,1265186,1265448
81,chr1,1267065,1267305
82,chr1,1267415,1269005
83,chr1,1271405,1272093
84,chr1,1272357,1272653
85,chr1,1283913,1285364
86,chr1,1289687,1291145
87,chr1,1309120,1311058
88,chr1,1322624,1322943
89,chr1,1334051,1335621
90,chr1,1341984,1342971
91,chr1,1355139,1356019
92,chr1,1361540,1361806
93,chr1,1362934,1363318
94,chr1,1370747,1371468
95,chr1,1374441,1375603
96,chr1,1389535,1389908
97,chr1,1396065,1396357
98,chr1,1406824,1407840
99,chr1,1414014,1414551
100,chr1,1417265,1417772
101,chr1,1420206,1420703
102,chr1,1444568,1444868
103,chr1,1446858,1448224
104,chr1,1452681,1453218
105,chr1,1455282,1455911
106,chr1,1456809,1457093
107,chr1,1457934,1459048
108,chr1,1464488,1464825
109,chr1,1470584,1471469
110,chr1,1473087,1473361
111,chr1,1474942,1475239
112,chr1,1476073,1476688
113,chr1,1489512,1489813
114,chr1,1496741,1497005
115,chr1,1509462,1510766
116,chr1,1534311,1536155
117,chr1,1550433,1552034
118,chr1,1558567,1559378
119,chr1,1560760,1561074
120,chr1,1562029,1562417
121,chr1,1563654,1564051
122,chr1,1564401,1570025
123,chr1,1571012,1571489
124,chr1,1580357,1580614
125,chr1,1590053,1590961
126,chr1,1600961,1601250
127,chr1,1602371,1602705
128,chr1,1607878,1608262
129,chr1,1623590,1625086
130,chr1,1631066,1633245
131,chr1,1634232,1634709
132,chr1,1643573,1643830
133,chr1,1655375,1656250
134,chr1,1670736,1671120
135,chr1,1676865,1678352
136,chr1,1685353,1685990
137,chr1,1691747,1692082
138,chr1,1709374,1710601
139,chr1,1713619,1714160
140,chr1,1821385,1823291
141,chr1,1839938,1840620
142,chr1,1850078,1851410
143,chr1,1859226,1859542
144,chr1,1874695,1875034
145,chr1,1875597,1875896
146,chr1,1886324,1886889
147,chr1,1896394,1896647
148,chr1,1897561,1897805
149,chr1,1910248,1913819
150,chr1,1935146,1935471
151,chr1,1950391,1951498
152,chr1,1957026,1957405
153,chr1,1959394,1959886
154,chr1,1960922,1961167
155,chr1,1961387,1961869
156,chr1,1974666,1974961
157,chr1,1976103,1976647
158,chr1,1981231,1983231
159,chr1,1990759,1991190
160,chr1,2005159,2005584
161,chr1,2025185,2026244
162,chr1,2038535,2038882
163,chr1,2040977,2041321
164,chr1,2046409,2046884
165,chr1,2063762,2064071
166,chr1,2064608,2064874
167,chr1,2066347,2066685
168,chr1,2082294,2082548
169,chr1,2116412,2116820
170,chr1,2120997,2121837
171,chr1,2126028,2126661
172,chr1,2136788,2137370
173,chr1,2144179,2144516
174,chr1,2158192,2161192
175,chr1,2212000,2213900
176,chr1,2222178,2222588
177,chr1,2232290,2232636
178,chr1,2235288,2235686
179,chr1,2236422,2239088
180,chr1,2245694,2247105
181,chr1,2249295,2249653
182,chr1,2253703,2254777
183,chr1,2258077,2258442
184,chr1,2259044,2259345
185,chr1,2265987,2266451
186,chr1,2276338,2276676
187,chr1,2304139,2304395
188,chr1,2316333,2316768
189,chr1,2322461,2323783
190,chr1,2333530,2334191
191,chr1,2339856,2340265
192,chr1,2343365,2344736
193,chr1,2345871,2346175
194,chr1,2359906,2360186
195,chr1,2371826,2372092
196,chr1,2374798,2375833
197,chr1,2387649,2388105
198,chr1,2398805,2399074
199,chr1,2409737,2410068
