,chr_nr,start,stop
1,chr1,28735,29809
2,chr1,135124,135562
3,chr1,327790,328228
4,chr1,437151,438163
5,chr1,449273,450543
6,chr1,533219,534113
7,chr1,544738,546648
8,chr1,713984,714546
9,chr1,762416,763444
10,chr1,788863,789210
11,chr1,801975,802337
12,chr1,805198,805627
13,chr1,839694,840618
14,chr1,844299,845882
15,chr1,854765,854972
16,chr1,858970,861631
17,chr1,869332,871871
18,chr1,875730,878362
19,chr1,886356,886601
20,chr1,894313,902653
21,chr1,906296,906537
22,chr1,912869,913152
23,chr1,919726,919926
24,chr1,933387,937409
25,chr1,948670,948893
26,chr1,949329,949850
27,chr1,954768,956342
28,chr1,963795,964506
29,chr1,967966,970237
30,chr1,975496,980304
31,chr1,981068,981399
32,chr1,982152,982510
33,chr1,983174,983611
34,chr1,984206,984428
35,chr1,990274,990693
36,chr1,994436,995302
37,chr1,999678,999910
38,chr1,1002663,1005317
39,chr1,1011509,1013401
40,chr1,1016863,1017438
41,chr1,1018099,1018389
42,chr1,1019818,1020025
43,chr1,1023143,1023346
44,chr1,1024075,1024613
45,chr1,1026377,1026624
46,chr1,1027509,1027729
47,chr1,1046044,1046339
48,chr1,1050515,1050829
49,chr1,1051178,1052444
50,chr1,1072369,1072846
51,chr1,1093211,1093475
52,chr1,1098043,1100583
53,chr1,1109314,1110144
54,chr1,1115574,1116005
55,chr1,1132827,1133217
56,chr1,1136360,1137155
57,chr1,1141670,1142149
58,chr1,1145568,1145877
59,chr1,1146708,1146913
60,chr1,1149055,1149523
61,chr1,1152522,1153133
62,chr1,1153784,1154418
63,chr1,1159168,1159527
64,chr1,1161959,1162280
65,chr1,1163502,1163894
66,chr1,1167001,1168984
67,chr1,1173915,1174262
68,chr1,1177885,1178206
69,chr1,1181756,1182469
70,chr1,1189396,1190244
71,chr1,1190522,1190798
72,chr1,1203166,1203596
73,chr1,1208515,1209941
74,chr1,1228780,1230162
75,chr1,1242400,1245184
76,chr1,1247918,1248492
77,chr1,1254322,1254547
78,chr1,1259643,1260634
79,chr1,1262665,1263419
80,chr1,1265206,1265428
81,chr1,1267085,1267285
82,chr1,1267435,1268985
83,chr1,1271425,1272073
84,chr1,1272377,1272633
85,chr1,1283933,1285344
86,chr1,1289707,1291125
87,chr1,1309140,1311038
88,chr1,1322644,1322923
89,chr1,1334071,1335601
90,chr1,1342004,1342951
91,chr1,1355159,1355999
92,chr1,1361560,1361786
93,chr1,1362954,1363298
94,chr1,1370767,1371448
95,chr1,1374461,1375583
96,chr1,1389555,1389888
97,chr1,1396085,1396337
98,chr1,1406844,1407820
99,chr1,1414034,1414531
100,chr1,1417285,1417752
101,chr1,1420226,1420683
102,chr1,1444588,1444848
103,chr1,1446878,1448204
104,chr1,1452701,1453198
105,chr1,1455302,1455891
106,chr1,1456829,1457073
107,chr1,1457954,1459028
108,chr1,1464508,1464805
109,chr1,1470604,1471449
110,chr1,1473107,1473341
111,chr1,1474962,1475219
112,chr1,1476093,1476668
113,chr1,1489532,1489793
114,chr1,1496761,1496985
115,chr1,1509482,1510746
116,chr1,1534331,1536135
117,chr1,1550453,1552014
118,chr1,1558587,1559358
119,chr1,1560780,1561054
120,chr1,1562049,1562397
121,chr1,1563674,1564031
122,chr1,1564421,1570005
123,chr1,1571032,1571469
124,chr1,1580377,1580594
125,chr1,1590073,1590941
126,chr1,1600981,1601230
127,chr1,1602391,1602685
128,chr1,1607898,1608242
129,chr1,1623610,1625066
130,chr1,1631086,1633225
131,chr1,1634252,1634689
132,chr1,1643593,1643810
133,chr1,1655395,1656230
134,chr1,1670756,1671100
135,chr1,1676885,1678332
136,chr1,1685373,1685970
137,chr1,1691767,1692062
138,chr1,1709394,1710581
139,chr1,1713639,1714140
140,chr1,1821405,1823271
141,chr1,1839958,1840600
142,chr1,1850098,1851390
143,chr1,1859246,1859522
144,chr1,1874715,1875014
145,chr1,1875617,1875876
146,chr1,1886344,1886869
147,chr1,1896414,1896627
148,chr1,1897581,1897785
149,chr1,1910268,1913799
150,chr1,1935166,1935451
151,chr1,1950411,1951478
152,chr1,1957046,1957385
153,chr1,1959414,1959866
154,chr1,1960942,1961147
155,chr1,1961407,1961849
156,chr1,1974686,1974941
157,chr1,1976123,1976627
158,chr1,1981251,1983211
159,chr1,1990779,1991170
160,chr1,2005179,2005564
161,chr1,2025205,2026224
162,chr1,2038555,2038862
163,chr1,2040997,2041301
164,chr1,2046429,2046864
165,chr1,2063782,2064051
166,chr1,2064628,2064854
167,chr1,2066367,2066665
168,chr1,2082314,2082528
169,chr1,2116432,2116800
170,chr1,2121017,2121817
171,chr1,2126048,2126641
172,chr1,2136808,2137350
173,chr1,2144199,2144496
174,chr1,2158212,2161172
175,chr1,2212020,2213880
176,chr1,2222198,2222568
177,chr1,2232310,2232616
178,chr1,2235308,2235666
179,chr1,2236442,2239068
180,chr1,2245714,2247085
181,chr1,2249315,2249633
182,chr1,2253723,2254757
183,chr1,2258097,2258422
184,chr1,2259064,2259325
185,chr1,2266007,2266431
186,chr1,2276358,2276656
187,chr1,2304159,2304375
188,chr1,2316353,2316748
189,chr1,2322481,2323763
190,chr1,2333550,2334171
191,chr1,2339876,2340245
192,chr1,2343385,2344716
193,chr1,2345891,2346155
194,chr1,2359926,2360166
195,chr1,2371846,2372072
196,chr1,2374818,2375813
197,chr1,2387669,2388085
198,chr1,2398825,2399054
199,chr1,2409757,2410048
200,chr1,2411125,2411403
201,chr1,2415198,2415505
202,chr1,2433648,2434064
203,chr1,2435041,2435256
204,chr1,2435554,2435827
205,chr1,2439797,2440021
206,chr1,2440126,2440477
207,chr1,2445355,2445647
208,chr1,2449922,2450205
209,chr1,2451217,2451550
210,chr1,2452795,2453006
211,chr1,2457241,2458258
212,chr1,2460760,2462009
213,chr1,2466934,2467211
214,chr1,2472095,2472585
215,chr1,2477563,2478362
216,chr1,2517397,2518891
217,chr1,2527239,2527502
218,chr1,2537671,2537885
219,chr1,2559892,2561054
220,chr1,2574030,2574863
221,chr1,2706025,2706960
222,chr1,2716741,2717232
223,chr1,2772126,2772664
224,chr1,2777157,2777360
225,chr1,2827785,2828293
226,chr1,2847056,2847287
227,chr1,2850665,2850872
228,chr1,2876545,2876807
229,chr1,2885062,2885283
230,chr1,2886589,2886922
231,chr1,2918497,2918752
232,chr1,2929155,2929375
233,chr1,2938633,2939042
234,chr1,2979275,2980757
235,chr1,2983925,2987961
236,chr1,2990030,2990717
237,chr1,2997272,2997472
238,chr1,2999727,2999977
239,chr1,3028179,3028556
240,chr1,3038067,3038342
241,chr1,3056541,3056771
242,chr1,3059050,3059267
243,chr1,3071899,3072238
244,chr1,3080934,3081291
245,chr1,3102540,3103351
246,chr1,3104956,3105252
247,chr1,3111579,3111908
248,chr1,3147845,3148080
249,chr1,3155160,3155360
250,chr1,3157509,3158299
251,chr1,3163969,3164642
252,chr1,3182821,3183215
253,chr1,3184546,3184823
254,chr1,3195376,3196051
255,chr1,3203765,3204452
256,chr1,3239915,3240260
257,chr1,3275029,3275283
258,chr1,3307069,3307284
259,chr1,3310102,3311034
260,chr1,3321269,3322309
261,chr1,3327991,3329423
262,chr1,3331040,3331278
263,chr1,3331986,3332226
264,chr1,3342012,3342805
265,chr1,3351365,3351631
266,chr1,3370905,3371682
267,chr1,3394701,3395190
268,chr1,3425576,3425796
269,chr1,3426361,3426569
270,chr1,3427355,3427682
271,chr1,3435988,3436249
272,chr1,3447449,3447949
273,chr1,3459874,3460268
274,chr1,3499902,3500469
275,chr1,3511709,3512117
276,chr1,3527619,3528077
277,chr1,3528333,3528682
278,chr1,3540767,3542240
279,chr1,3556963,3557200
280,chr1,3559952,3561008
281,chr1,3566445,3569635
282,chr1,3607096,3607552
283,chr1,3623318,3623520
284,chr1,3634633,3635100
285,chr1,3649294,3649673
286,chr1,3662963,3664084
287,chr1,3688553,3689683
288,chr1,3703672,3703907
289,chr1,3712398,3713233
290,chr1,3731458,3732014
291,chr1,3773187,3774464
292,chr1,3775077,3775368
293,chr1,3790864,3791610
294,chr1,3808490,3809235
295,chr1,3816356,3818083
296,chr1,3824219,3824455
297,chr1,4192633,4193242
298,chr1,4221387,4221671
299,chr1,4713989,4716554
300,chr1,4726576,4726866
301,chr1,4771652,4772544
302,chr1,4832351,4832552
303,chr1,5772056,5772512
304,chr1,5793557,5793783
305,chr1,5937157,5937391
306,chr1,5950824,5951028
307,chr1,6051595,6052954
308,chr1,6086244,6086493
309,chr1,6111609,6111835
310,chr1,6131635,6131984
311,chr1,6187743,6188234
312,chr1,6188873,6189119
313,chr1,6202118,6202358
314,chr1,6208716,6209038
315,chr1,6239237,6240813
316,chr1,6241031,6241250
317,chr1,6259178,6259882
318,chr1,6265825,6266777
319,chr1,6268820,6269587
320,chr1,6295528,6296260
321,chr1,6301695,6302855
322,chr1,6305148,6306462
323,chr1,6309163,6310091
324,chr1,6313761,6314138
325,chr1,6320137,6320941
326,chr1,6339948,6340267
327,chr1,6341136,6341411
328,chr1,6452814,6454184
