,chr_nr,start,stop
1,chr1,28725,29819
2,chr1,135114,135572
3,chr1,327780,328238
4,chr1,437141,438173
5,chr1,449263,450553
6,chr1,533209,534123
7,chr1,544728,546658
8,chr1,713974,714556
9,chr1,762406,763454
10,chr1,788853,789220
11,chr1,801965,802347
12,chr1,805188,805637
13,chr1,839684,840628
14,chr1,844289,845892
15,chr1,854755,854982
16,chr1,858960,861641
17,chr1,869322,871881
18,chr1,875720,878372
19,chr1,886346,886611
20,chr1,894303,902663
21,chr1,906286,906547
22,chr1,912859,913162
23,chr1,919716,919936
24,chr1,933377,937419
25,chr1,948660,948903
26,chr1,949319,949860
27,chr1,954758,956352
28,chr1,963785,964516
29,chr1,967956,970247
30,chr1,975486,980314
31,chr1,981058,981409
32,chr1,982142,982520
33,chr1,983164,983621
34,chr1,984196,984438
35,chr1,990264,990703
36,chr1,994426,995312
37,chr1,999668,999920
38,chr1,1002653,1005327
39,chr1,1011499,1013411
40,chr1,1016853,1017448
41,chr1,1018089,1018399
42,chr1,1019808,1020035
43,chr1,1023133,1023356
44,chr1,1024065,1024623
45,chr1,1026367,1026634
46,chr1,1027499,1027739
47,chr1,1046034,1046349
48,chr1,1050505,1050839
49,chr1,1051168,1052454
50,chr1,1072359,1072856
51,chr1,1093201,1093485
52,chr1,1098033,1100593
53,chr1,1109304,1110154
54,chr1,1115564,1116015
55,chr1,1132817,1133227
56,chr1,1136350,1137165
57,chr1,1141660,1142159
58,chr1,1145558,1145887
59,chr1,1146698,1146923
60,chr1,1149045,1149533
61,chr1,1152512,1153143
62,chr1,1153774,1154428
63,chr1,1159158,1159537
64,chr1,1161949,1162290
65,chr1,1163492,1163904
66,chr1,1166991,1168994
67,chr1,1173905,1174272
68,chr1,1177875,1178216
69,chr1,1181746,1182479
70,chr1,1189386,1190254
71,chr1,1190512,1190808
72,chr1,1203156,1203606
73,chr1,1208505,1209951
74,chr1,1228770,1230172
75,chr1,1242390,1245194
76,chr1,1247908,1248502
77,chr1,1254312,1254557
78,chr1,1259633,1260644
79,chr1,1262655,1263429
80,chr1,1265196,1265438
81,chr1,1267075,1267295
82,chr1,1267425,1268995
83,chr1,1271415,1272083
84,chr1,1272367,1272643
85,chr1,1283923,1285354
86,chr1,1289697,1291135
87,chr1,1309130,1311048
88,chr1,1322634,1322933
89,chr1,1334061,1335611
90,chr1,1341994,1342961
91,chr1,1355149,1356009
92,chr1,1361550,1361796
93,chr1,1362944,1363308
94,chr1,1370757,1371458
95,chr1,1374451,1375593
96,chr1,1389545,1389898
97,chr1,1396075,1396347
98,chr1,1406834,1407830
99,chr1,1414024,1414541
100,chr1,1417275,1417762
101,chr1,1420216,1420693
102,chr1,1444578,1444858
103,chr1,1446868,1448214
104,chr1,1452691,1453208
105,chr1,1455292,1455901
106,chr1,1456819,1457083
107,chr1,1457944,1459038
108,chr1,1464498,1464815
109,chr1,1470594,1471459
110,chr1,1473097,1473351
111,chr1,1474952,1475229
112,chr1,1476083,1476678
113,chr1,1489522,1489803
114,chr1,1496751,1496995
115,chr1,1509472,1510756
116,chr1,1534321,1536145
