,chr_nr,start,stop
0,chr1,26735,28735
1,chr1,29810,31810
2,chr1,133124,135124
3,chr1,135563,137563
4,chr1,325790,327790
5,chr1,328229,330229
6,chr1,435151,437151
7,chr1,438164,440164
8,chr1,447273,449273
9,chr1,450544,452544
10,chr1,531219,533219
11,chr1,534114,536114
12,chr1,542738,544738
13,chr1,546649,548649
14,chr1,711984,713984
15,chr1,714547,716547
16,chr1,760416,762416
17,chr1,763445,765445
18,chr1,786863,788863
19,chr1,789211,791211
20,chr1,799975,801975
21,chr1,802338,805198
22,chr1,805628,807628
23,chr1,837694,839694
24,chr1,840619,844299
25,chr1,845883,847883
26,chr1,852765,854765
27,chr1,854973,858970
28,chr1,861632,863632
29,chr1,867332,869332
30,chr1,871872,875730
31,chr1,878363,880363
32,chr1,884356,886356
33,chr1,886602,888602
34,chr1,892313,894313
35,chr1,902654,906296
36,chr1,906538,908538
37,chr1,910869,912869
38,chr1,913153,915153
39,chr1,917726,919726
40,chr1,919927,921927
41,chr1,931387,933387
42,chr1,937410,939410
43,chr1,946670,948670
44,chr1,948894,949329
45,chr1,949851,951851
46,chr1,952768,954768
47,chr1,956343,958343
48,chr1,961795,963795
49,chr1,964507,967966
50,chr1,970238,972238
51,chr1,973496,975496
52,chr1,980305,981068
53,chr1,981400,982152
54,chr1,982511,983174
55,chr1,983612,984206
56,chr1,984429,986429
57,chr1,988274,990274
58,chr1,990694,994436
59,chr1,995303,997303
60,chr1,997678,999678
61,chr1,999911,1002663
62,chr1,1005318,1007318
63,chr1,1009509,1011509
64,chr1,1013402,1016863
65,chr1,1017439,1018099
66,chr1,1018390,1019818
67,chr1,1020026,1023143
68,chr1,1023347,1024075
69,chr1,1024614,1026377
70,chr1,1026625,1027509
71,chr1,1027730,1029730
72,chr1,1044044,1046044
73,chr1,1046340,1048340
74,chr1,1048515,1050515
75,chr1,1050830,1051178
76,chr1,1052445,1054445
77,chr1,1070369,1072369
78,chr1,1072847,1074847
79,chr1,1091211,1093211
80,chr1,1093476,1095476
81,chr1,1096043,1098043
82,chr1,1100584,1102584
83,chr1,1107314,1109314
84,chr1,1110145,1112145
85,chr1,1113574,1115574
86,chr1,1116006,1118006
87,chr1,1130827,1132827
88,chr1,1133218,1136360
89,chr1,1137156,1139156
90,chr1,1139670,1141670
91,chr1,1142150,1145568
92,chr1,1145878,1146708
93,chr1,1146914,1149055
94,chr1,1149524,1152522
95,chr1,1153134,1153784
96,chr1,1154419,1156419
97,chr1,1157168,1159168
98,chr1,1159528,1161959
99,chr1,1162281,1163502
100,chr1,1163895,1167001
101,chr1,1168985,1170985
102,chr1,1171915,1173915
