,chr_nr,start,stop
0,chr1,0,24735
1,chr1,33810,131124
2,chr1,139563,323790
3,chr1,332229,433151
4,chr1,442164,445273
5,chr1,454544,529219
6,chr1,538114,540738
7,chr1,550649,709984
8,chr1,718547,758416
9,chr1,767445,784863
10,chr1,793211,797975
11,chr1,809628,835694
12,chr1,849883,850765
13,chr1,923927,929387
14,chr1,941410,944670
15,chr1,1031730,1042044
16,chr1,1056445,1068369
17,chr1,1076847,1089211
18,chr1,1104584,1105314
19,chr1,1120006,1128827
20,chr1,1194799,1199166
21,chr1,1213942,1224780
22,chr1,1234163,1238400
23,chr1,1276634,1279933
24,chr1,1295126,1305140
25,chr1,1315039,1318644
26,chr1,1326924,1330071
27,chr1,1346952,1351159
28,chr1,1379584,1385555
29,chr1,1400338,1402844
30,chr1,1424684,1440588
31,chr1,1480669,1485532
32,chr1,1500986,1505482
33,chr1,1514747,1530331
34,chr1,1540136,1546453
35,chr1,1575470,1576377
36,chr1,1584595,1586073
37,chr1,1594942,1596981
38,chr1,1612243,1619610
39,chr1,1638690,1639593
40,chr1,1647811,1651395
41,chr1,1660231,1666756
42,chr1,1696063,1705394
43,chr1,1718141,1817405
44,chr1,1827272,1835958
45,chr1,1844601,1846098
46,chr1,1863523,1870715
47,chr1,1879877,1882344
48,chr1,1890870,1892414
49,chr1,1901786,1906268
50,chr1,1917800,1931166
51,chr1,1939452,1946411
52,chr1,1965850,1970686
53,chr1,1995171,2001179
54,chr1,2009565,2021205
55,chr1,2030225,2034555
56,chr1,2050865,2059782
57,chr1,2070666,2078314
58,chr1,2086529,2112432
59,chr1,2130642,2132808
60,chr1,2148497,2154212
61,chr1,2165173,2208020
62,chr1,2217881,2218198
63,chr1,2226569,2228310
64,chr1,2270432,2272358
65,chr1,2280657,2300159
66,chr1,2308376,2312353
67,chr1,2327764,2329550
68,chr1,2350156,2355926
69,chr1,2364167,2367846
70,chr1,2379814,2383669
71,chr1,2392086,2394825
72,chr1,2403055,2405757
73,chr1,2419506,2429648
74,chr1,2482363,2513397
75,chr1,2522892,2523239
76,chr1,2531503,2533671
77,chr1,2541886,2555892
78,chr1,2565055,2570030
79,chr1,2578864,2702025
80,chr1,2710961,2712741
81,chr1,2721233,2768126
82,chr1,2781361,2823785
83,chr1,2832294,2843056
84,chr1,2854873,2872545
85,chr1,2880808,2881062
86,chr1,2890923,2914497
87,chr1,2922753,2925155
88,chr1,2933376,2934633
89,chr1,2943043,2975275
90,chr1,3003978,3024179
91,chr1,3032557,3034067
92,chr1,3042343,3052541
93,chr1,3063268,3067899
94,chr1,3076239,3076934
95,chr1,3085292,3098540
96,chr1,3115909,3143845
97,chr1,3168643,3178821
98,chr1,3188824,3191376
99,chr1,3208453,3235915
100,chr1,3244261,3271029
101,chr1,3279284,3303069
102,chr1,3315035,3317269
103,chr1,3336227,3338012
104,chr1,3346806,3347365
105,chr1,3355632,3366905
106,chr1,3375683,3390701
107,chr1,3399191,3421576
108,chr1,3431683,3431988
109,chr1,3440250,3443449
110,chr1,3451950,3455874
111,chr1,3464269,3495902
112,chr1,3504470,3507709
113,chr1,3516118,3523619
114,chr1,3532683,3536767
115,chr1,3546241,3552963
116,chr1,3573636,3603096
117,chr1,3611553,3619318
118,chr1,3627521,3630633
119,chr1,3639101,3645294
120,chr1,3653674,3658963
121,chr1,3668085,3684553
122,chr1,3693684,3699672
123,chr1,3707908,3708398
124,chr1,3717234,3727458
125,chr1,3736015,3769187
126,chr1,3779369,3786864
127,chr1,3795611,3804490
128,chr1,3828456,4188633
129,chr1,4197243,4217387
130,chr1,4225672,4709989
131,chr1,4720555,4722576
132,chr1,4730867,4767652
133,chr1,4776545,4828351
134,chr1,4836553,5768056
135,chr1,5776513,5789557
136,chr1,5797784,5933157
137,chr1,5941392,5946824
138,chr1,5955029,6047595
139,chr1,6056955,6082244
140,chr1,6090494,6107609
141,chr1,6115836,6127635
142,chr1,6135985,6183743
143,chr1,6193120,6198118
144,chr1,6213039,6235237
145,chr1,6245251,6255178
146,chr1,6273588,6291528
147,chr1,6324942,6335948
148,chr1,6345412,6448814
149,chr1,6458185,6475057
150,chr1,6489327,6496168
151,chr1,6535814,6541143
152,chr1,6561872,6610136
153,chr1,6618835,6635427
154,chr1,6644361,6649397
155,chr1,6667844,6668786
156,chr1,6679741,6681071
157,chr1,6689691,6757295
158,chr1,6766131,6840313
159,chr1,6850366,7018001
160,chr1,7026308,7118519
161,chr1,7126727,7719400
162,chr1,7729175,7736143
163,chr1,7745117,7760593
164,chr1,7769856,7827378
165,chr1,7835846,7839460
166,chr1,7849104,7883198
167,chr1,7891476,7998408
168,chr1,8006699,8009993
169,chr1,8026226,8081554
170,chr1,8090854,8267996
171,chr1,8281822,8373784
172,chr1,8399635,8399697
173,chr1,8408102,8414322
174,chr1,8422857,8479389
175,chr1,8488339,8759005
176,chr1,8767549,8873012
177,chr1,8882092,8934098
178,chr1,8943409,9095280
179,chr1,9104513,9127602
180,chr1,9135909,9184503
181,chr1,9193743,9238167
182,chr1,9247827,9254565
183,chr1,9262956,9290401
184,chr1,9299118,9320202
185,chr1,9329016,9412126
186,chr1,9420404,9423507
187,chr1,9431734,9484937
188,chr1,9493249,9551379
189,chr1,9559652,9595350
190,chr1,9604444,9644586
191,chr1,9653517,9666617
192,chr1,9674868,9683125
193,chr1,9691367,9707780
194,chr1,9717001,9745295
195,chr1,9754228,9771708
196,chr1,9779997,9786292
197,chr1,9795486,9818576
198,chr1,9826817,9879011
199,chr1,9888667,9965845
200,chr1,9974790,9999165
201,chr1,10007585,10053121
202,chr1,10062108,10088532
203,chr1,10097404,10266015
204,chr1,10275306,10382183
205,chr1,10390390,10454548
206,chr1,10463997,10486200
207,chr1,10495072,10528177
208,chr1,10539172,10694299
209,chr1,10729617,10749773
210,chr1,10768925,10849894
211,chr1,10860964,10891895
212,chr1,10900117,11068319
213,chr1,11077245,11115030
214,chr1,11124634,11155387
215,chr1,11164136,11318258
216,chr1,11327036,11329259
217,chr1,11337547,11534669
218,chr1,11544342,11557366
219,chr1,11566156,11585838
220,chr1,11600622,11704767
221,chr1,11719304,11720113
222,chr1,11728885,11736828
223,chr1,11745717,11746701
224,chr1,11756651,11775566
225,chr1,11784016,11791975
226,chr1,11800263,11818139
227,chr1,11826363,11861462
228,chr1,11870566,11894393
229,chr1,11902732,11915115
230,chr1,11923555,11981643
231,chr1,11990634,11990694
232,chr1,11998969,12036113
233,chr1,12044793,12075251
234,chr1,12083903,12119488
235,chr1,12128148,12222876
236,chr1,12231712,12247777
237,chr1,12255985,12285954
238,chr1,12295199,12596347
239,chr1,12604556,12651926
240,chr1,12660248,12672983
241,chr1,12682642,13835505
242,chr1,13844613,13877410
243,chr1,13885612,13905606
244,chr1,13914868,14022481
245,chr1,14031200,14071267
246,chr1,14080458,14215350
247,chr1,14223737,14920610
248,chr1,14929993,15123583
249,chr1,15131869,15246373
250,chr1,15255545,15371063
251,chr1,15379413,15475219
252,chr1,15485471,15537181
253,chr1,15545447,15569620
254,chr1,15577953,15732033
255,chr1,15741228,15846493
256,chr1,15857663,15907088
257,chr1,15915608,15925823
258,chr1,15934289,15939821
