,chr_nr,start,stop
0,chr1,28735,29810
1,chr1,135124,135563
2,chr1,327790,328229
3,chr1,437151,438164
4,chr1,449273,450544
5,chr1,533219,534114
6,chr1,544738,546649
7,chr1,713984,714547
8,chr1,762416,763445
9,chr1,788863,789211
10,chr1,801975,802338
11,chr1,805198,805628
12,chr1,839694,840619
13,chr1,844299,845883
14,chr1,854765,854973
15,chr1,858970,861632
16,chr1,869332,871872
17,chr1,875730,878363
18,chr1,886356,886602
19,chr1,894313,902654
20,chr1,906296,906538
21,chr1,912869,913153
22,chr1,919726,919927
23,chr1,933387,937410
24,chr1,948670,948894
25,chr1,949329,949851
26,chr1,954768,956343
27,chr1,963795,964507
28,chr1,967966,970238
29,chr1,975496,980305
30,chr1,981068,981400
31,chr1,982152,982511
32,chr1,983174,983612
33,chr1,984206,984429
34,chr1,990274,990694
35,chr1,994436,995303
36,chr1,999678,999911
37,chr1,1002663,1005318
38,chr1,1011509,1013402
39,chr1,1016863,1017439
40,chr1,1018099,1018390
41,chr1,1019818,1020026
42,chr1,1023143,1023347
43,chr1,1024075,1024614
44,chr1,1026377,1026625
45,chr1,1027509,1027730
46,chr1,1046044,1046340
47,chr1,1050515,1050830
48,chr1,1051178,1052445
49,chr1,1072369,1072847
50,chr1,1093211,1093476
51,chr1,1098043,1100584
52,chr1,1109314,1110145
53,chr1,1115574,1116006
54,chr1,1132827,1133218
55,chr1,1136360,1137156
56,chr1,1141670,1142150
57,chr1,1145568,1145878
58,chr1,1146708,1146914
59,chr1,1149055,1149524
60,chr1,1152522,1153134
61,chr1,1153784,1154419
62,chr1,1159168,1159528
63,chr1,1161959,1162281
64,chr1,1163502,1163895
65,chr1,1167001,1168985
66,chr1,1173915,1174263
67,chr1,1177885,1178207
68,chr1,1181756,1182470
69,chr1,1189396,1190245
70,chr1,1190522,1190799
71,chr1,1203166,1203597
72,chr1,1208515,1209942
73,chr1,1228780,1230163
74,chr1,1242400,1245185
75,chr1,1247918,1248493
76,chr1,1254322,1254548
77,chr1,1259643,1260635
78,chr1,1262665,1263420
79,chr1,1265206,1265429
80,chr1,1267085,1267286
81,chr1,1267435,1268986
82,chr1,1271425,1272074
83,chr1,1272377,1272634
84,chr1,1283933,1285345
85,chr1,1289707,1291126
86,chr1,1309140,1311039
87,chr1,1322644,1322924
88,chr1,1334071,1335602
89,chr1,1342004,1342952
90,chr1,1355159,1356000
91,chr1,1361560,1361787
92,chr1,1362954,1363299
93,chr1,1370767,1371449
94,chr1,1374461,1375584
95,chr1,1389555,1389889
96,chr1,1396085,1396338
97,chr1,1406844,1407821
98,chr1,1414034,1414532
99,chr1,1417285,1417753
100,chr1,1420226,1420684
101,chr1,1444588,1444849
102,chr1,1446878,1448205
103,chr1,1452701,1453199
104,chr1,1455302,1455892
105,chr1,1456829,1457074
106,chr1,1457954,1459029
107,chr1,1464508,1464806
108,chr1,1470604,1471450
109,chr1,1473107,1473342
110,chr1,1474962,1475220
111,chr1,1476093,1476669
112,chr1,1489532,1489794
113,chr1,1496761,1496986
114,chr1,1509482,1510747
115,chr1,1534331,1536136
116,chr1,1550453,1552015
117,chr1,1558587,1559359
118,chr1,1560780,1561055
119,chr1,1562049,1562398
120,chr1,1563674,1564032
121,chr1,1564421,1570006
122,chr1,1571032,1571470
123,chr1,1580377,1580595
124,chr1,1590073,1590942
125,chr1,1600981,1601231
126,chr1,1602391,1602686
127,chr1,1607898,1608243
128,chr1,1623610,1625067
129,chr1,1631086,1633226
130,chr1,1634252,1634690
131,chr1,1643593,1643811
132,chr1,1655395,1656231
133,chr1,1670756,1671101
134,chr1,1676885,1678333
135,chr1,1685373,1685971
136,chr1,1691767,1692063
137,chr1,1709394,1710582
138,chr1,1713639,1714141
139,chr1,1821405,1823272
140,chr1,1839958,1840601
141,chr1,1850098,1851391
142,chr1,1859246,1859523
143,chr1,1874715,1875015
144,chr1,1875617,1875877
145,chr1,1886344,1886870
146,chr1,1896414,1896628
147,chr1,1897581,1897786
148,chr1,1910268,1913800
149,chr1,1935166,1935452
150,chr1,1950411,1951479
151,chr1,1957046,1957386
152,chr1,1959414,1959867
153,chr1,1960942,1961148
154,chr1,1961407,1961850
155,chr1,1974686,1974942
156,chr1,1976123,1976628
